,year,latitude,longitude,rainfall,temperature
0,1980,8.451258352481261,76.83481389058699,3.798482481430952,30.937153
1,1980,8.733465171526532,76.60834197748865,4.964860981136886,30.937153
2,1980,8.631884688242543,76.77051028642661,3.0517663027012283,30.937153
3,1980,8.885522639737793,76.54701195556088,5.300380966641376,30.937153
4,1980,8.858651,76.73359,3.0517663027012283,30.937153
5,1980,9.108651,76.73359,6.211748670359127,30.871817
6,1980,9.224103414182656,76.35410432343424,9.293888849475996,30.871817
7,1980,9.118984536587492,76.50328640125274,5.300380966641376,30.871817
8,1980,9.358651,76.48359,6.132210784474683,30.871817
9,1980,9.382370184226248,76.32615993879993,9.189914519466011,30.871817
10,1980,9.358651,76.73359,8.142513938085303,30.871817
11,1980,9.608651,76.48359,6.689028945593723,30.871817
12,1980,9.608651,76.73359,7.077232599014142,30.871817
13,1980,9.616170469328436,76.30732760984787,9.189914519466011,30.871817
14,1980,9.858651,76.73359,7.78841364526195,30.871817
15,1980,9.868652826649956,76.28315332855063,9.753278673509431,30.871817
16,1980,9.858651,76.48359,8.072514799978238,30.871817
17,1980,10.1153271978434,76.24575668870119,6.22807649388665,28.55583
18,1980,10.2160181795298,76.10148728266694,9.10548851406965,28.55583
19,1980,10.108651,76.73359,13.024929027251208,28.55583
20,1980,10.108651,76.48359,12.08242112092796,28.55583
21,1980,10.358651,76.73359,14.83111587085359,28.55583
22,1980,10.358651,76.23359,7.835942655068929,28.55583
23,1980,10.358651,76.48359,9.626309429341164,28.55583
24,1980,10.608651,76.23359,9.440597034481868,28.55583
25,1980,10.608651,76.48359,9.422332599840528,28.55583
26,1980,10.608651,76.73359,10.161475615993224,28.55583
27,1980,10.858651,76.23359,8.062725272945693,28.55583
28,1980,10.858651,76.73359,5.238719140693464,28.55583
29,1980,10.389175146556775,76.0652973221816,10.18029267489503,28.55583
30,1980,10.620470964310949,76.01174788966918,10.18029267489503,28.55583
31,1980,10.863713158978973,75.98823808321536,7.841458980543692,29.672302
32,1980,10.858651,76.98359,2.459200299909857,28.55583
33,1980,11.108651,76.98359,1.8198863735697308,28.748388
34,1980,11.108651,77.23359,1.6175444184553105,30.20233
35,1980,11.108651,77.48359,1.4205835363700416,30.20233
36,1980,11.358651,76.98359,8.05680709450297,28.748388
37,1980,11.358651,77.48359,1.6631485753046358,30.20233
38,1980,11.358651,77.23359,1.667350815334281,30.20233
39,1980,11.608651,77.48359,1.5912622024249183,30.20233
40,1980,11.608651,77.23359,1.5017195614512826,30.20233
41,1980,11.608651,76.98359,2.051634980151888,28.748388
42,1980,10.91748142726516,75.8435027203806,8.707616152537,29.672302
43,1980,11.108651,75.98359,7.881114527949544,28.761854
44,1980,11.130260010855388,75.81502304870726,9.28309010193159,28.761854
45,1980,11.47626106150124,75.60450718553946,7.4621475583217185,28.761854
46,1980,11.372494777879949,75.75796240033915,9.28309010193159,28.761854
47,1980,11.358651,75.98359,9.402420091234108,28.761854
48,1980,11.647875413723272,75.55244118778914,8.068560198112264,28.761854
49,1980,11.608651,75.73359,8.368177320462108,28.761854
50,1980,11.608651,75.98359,8.85596709576298,28.761854
51,1980,10.858651,76.48359,6.631190825396223,28.55583
52,1980,11.108651,76.23359,8.000575265414565,28.748388
53,1980,11.108651,76.48359,3.743419326108987,28.748388
54,1980,11.108651,76.73359,1.7070637568424307,28.748388
55,1980,11.358651,76.48359,2.0467781365284177,28.748388
56,1980,11.358651,76.73359,2.5748247026257176,28.748388
57,1980,11.358651,76.23359,7.860928636186761,28.748388
58,1980,11.608651,76.48359,3.730431669030359,28.748388
59,1980,11.608651,76.23359,9.740599782618345,28.748388
60,1980,11.608651,76.73359,3.532513662114169,28.748388
61,1980,11.919573105987576,75.30706130729538,9.981459914416565,28.761854
62,1980,12.210974923076922,75.09658476543756,7.836223059542518,29.317612
63,1980,12.119147096032105,75.24874240473771,9.981459914416565,29.317612
64,1980,12.385341839700134,75.05068986073786,10.449555854450484,29.317612
65,1980,12.358651,75.23359,15.328042585097377,29.317612
66,1980,11.858651,76.98359,2.3681014336116326,28.748388
67,1980,11.858651,77.23359,2.010844004325202,30.20233
68,1980,11.858651,77.48359,2.1544202545993643,30.20233
69,1980,12.108651,77.23359,1.6606036329774256,30.977789
70,1980,12.108651,76.98359,1.857533718718857,27.589083
71,1980,12.108651,77.48359,2.043523664031524,30.977789
72,1980,12.358651,76.98359,1.7252393019248229,27.589083
73,1980,12.358651,77.48359,1.6227406886879538,30.977789
74,1980,12.358651,77.23359,1.676594073166613,30.977789
75,1980,12.608651,77.48359,2.213097876619772,30.977789
76,1980,11.861957872534632,75.48685442629655,8.068560198112264,28.761854
77,1980,11.858651,75.73359,7.5744922106139,28.761854
78,1980,11.858651,75.98359,4.718994824083451,28.761854
79,1980,12.108651,75.48359,12.643889851461015,29.317612
80,1980,12.108651,75.73359,6.389980173277888,29.317612
81,1980,12.108651,75.98359,4.826982733493295,29.317612
82,1980,12.358651,75.48359,10.005657898007684,29.317612
83,1980,12.358651,75.73359,5.096070036577071,29.317612
84,1980,12.358651,75.98359,2.29861250010833,29.317612
85,1980,12.608651,75.48359,11.250257847209772,29.317612
86,1980,11.858651,76.73359,2.2502074235938285,28.748388
87,1980,11.858651,76.48359,1.985949389921512,28.748388
88,1980,11.858651,76.23359,3.2868922245510617,28.748388
89,1980,12.108651,76.73359,2.758948179827036,27.589083
90,1980,12.108651,76.23359,2.711475420763584,27.589083
91,1980,12.108651,76.48359,2.0432558231300018,27.589083
92,1980,12.358651,76.23359,2.34315622565362,27.589083
93,1980,12.358651,76.73359,1.9036087554782792,27.589083
94,1980,12.358651,76.48359,2.0635610009070304,27.589083
95,1980,12.608651,76.23359,2.5914826374399205,27.589083
96,1980,12.616841209963017,75.00625599084441,10.449555854450484,29.317612
97,1980,12.608651,75.23359,15.933518554832114,29.317612
98,1980,12.901410971706516,74.82268612897451,9.713029089378692,29.497158
99,1980,12.858735167641266,74.98367569401148,13.088004417554602,29.497158
100,1980,12.858651,75.23359,14.60140007302735,29.317612
101,1980,13.108651,75.23359,14.198837048816875,29.407152
102,1980,13.118531613681112,74.79309796686549,9.713029089378692,29.503246
103,1980,13.108651,74.98359,12.58423684907904,29.503246
104,1980,13.358651,74.98359,13.213338424354957,29.503246
105,1980,13.358651,75.23359,12.486840177775244,29.407152
106,1980,12.608651,76.98359,5.207650244235992,27.589083
107,1980,12.608651,77.23359,2.31204739856264,30.977789
108,1980,12.858651,77.48359,2.344676445619982,30.977789
109,1980,12.858651,77.23359,2.012495732901852,30.977789
110,1980,12.858651,76.98359,2.071459231440161,27.589083
111,1980,13.108651,77.48359,2.095670141971828,30.423487
112,1980,13.108651,76.98359,3.410114979707316,29.721544
113,1980,13.108651,77.23359,1.6243953964179332,30.423487
114,1980,13.358651,77.23359,2.18607173721647,30.423487
115,1980,13.358651,76.98359,2.597960128647382,29.721544
116,1980,11.920196933765606,71.69931306684843,0.0,18.0
117,1980,12.214575091316094,71.82407468560389,0.0,18.0
118,1980,12.22693546373078,71.86522176157936,0.0,18.0
119,1980,12.324083031781706,71.86840231311615,0.0,18.0
120,1980,12.302018782539044,71.83136725657208,0.0,18.0
121,1980,7.976934000000001,77.47719996452818,0.0,18.0
122,1980,8.147642449544177,77.25637067941892,2.756932942390116,32.7898
123,1980,8.11864501687278,77.47629184060801,0.0,32.7898
124,1980,8.209111431179883,77.08019330051317,3.230890498460968,32.7898
125,1980,8.358651,77.23359,2.756932942390116,32.7898
126,1980,8.37791035335036,77.00197710688794,4.561296681440919,32.7898
127,1980,8.161662541874296,77.71847764587464,1.6229035645886196,32.7898
128,1980,8.20968062302153,77.8939799692404,0.0,32.7898
129,1980,8.358651,77.73359,1.6229035645886196,32.7898
130,1980,8.371835211173295,77.9657508408893,0.0,32.7898
131,1980,8.608651,77.73359,1.7613445798067446,32.7898
132,1980,8.609099263384751,77.9829701014946,1.6067235632468768,32.7898
133,1980,8.358651,77.48359,2.168646531169369,32.7898
134,1980,8.608651,77.23359,4.358689127479746,32.7898
135,1980,8.608651,77.48359,1.8079082872006085,32.7898
136,1980,8.608651,76.98359,4.561296681440919,30.937153
137,1980,8.858651,77.48359,0.9667107757852704,32.7898
138,1980,8.858651,76.98359,2.8276177940106457,30.937153
139,1980,8.858651,77.23359,1.9965452839483,32.7898
140,1980,9.108651,77.48359,1.5276607698837266,31.540348
141,1980,9.108651,76.98359,3.43740619753635,30.871817
142,1980,9.108651,77.23359,2.043240352406528,31.540348
143,1980,8.981889268837932,78.36073511460313,0.0,32.99054
144,1980,9.13143808560037,78.47524738375617,1.54921185284283,32.25081
